id,label,term,requisites
1,DATA 101,1,
2,PHYS 111,1,
3,MATH 100,1,
4,COSC 111,1,
5,ENGL 112,1,
6,ENGL 150,2,
7,MATH 221,2,3;9
8,PHYS 121,2,2
9,MATH 101,2,3
10,COSC 121,2,4
11,MATH 200,3,3
12,CHEM 111,3,
13,STAT 230,3,9;1
14,COSC 221,3,9;10
15,COSC 222,3,10
16,DATA 301,4,
17,DATA 311,4,13;4
18,COSC 304,4,
19,STAT 303,4,11
20,PHIL 331,4,
21,MATH 307,5,7
22,COSC 303,5,11;7;16
23,COSC 329,5,15;13
24,COSC 407,6,4
25,STAT 406,6,13
26,STAT 400,6,17
27,DATA 405,6,13
28,DATA 407,6,13
