id,label,term,requisites
1,DATA 101,1,
2,MATH 100,1,
3,PHYS 111,1,
4,COSC 111,1,
5,ENGL 151,1,
6,ENGL 113,2,
7,COSC 121,2,4
8,MATH 101,2,2
9,PHYS 121,2,2;3;8
10,EESC 111,2,
11,MATH 200,3,8
12,MATH 221,3,2
13,COSC 222,3,7
14,MATH 225,3,8
15,MATH 220,3,8
16,STAT 203,4,1;8
17,STAT 205,4,16
18,MATH 222,4,12
19,PHIL 331,4,
20,COSC 304,4,4
21,STAT 303,5,11;16
22,DATA 311,5,17;4
23,DATA 310,5,17
24,DATA 315,5,17
25,STAT 403,6,21
26,MATH 319,6,15;14
27,COSC 344,6,13;11;12
28,MATH 303,6,11;12;4
29,STAT 401,7,21
30,DATA 410,7,23
31,MATH 409,7,12;26;25
