id,label,term,requisites
1,DATA 101,1,
2,STAT 230,1,12;16
3,DATA 301,1,
4,DATA 311,1,2;13
5,PSYO 373,1,18
6,APSC 254,2,23;25
7,STAT 401,2,2;17
8,COSC 421,2,2
9,DATA 410,2,15;17;4
10,DATA 405,2,2
11,MATH 100,3,
12,MATH 101,3,11
13,COSC 111,3,
14,MATH 200,3,12
15,MATH 221,6,12;11
16,COSC 221,4,12;26
17,STAT 303,4,14
18,PSYO 372,4,19;20
19,PSYO 270,4,21;22
20,PSYO 271,6,19
21,PSYO 111,5,
22,PSYO 121,5,21
23,APSC 173,5,24
24,APSC 172,5,
25,APSC 178,6,24;23
26,COSC 121,6,13
