id,label,term,requisites
1,DATA 101,1,
2,PHYS 111,1,
3,MATH 100,1,
4,COSC 111,1,
5,ENGL 109,1,
6,CHEM 111,2,
7,PHYS 121,2,
8,MATH 101,2,3
9,COSC 121,2,4
10,MATH 200,2,8
11,MATH 221,3,3;8
12,STAT 230,3,8;1
13,COSC 221,3,9;8
14,COSC 222,3,9
15,MATH 220,3,8
16,DATA 301,4,
17,DATA 311,4,12;4
18,COSC 304,4,4
19,STAT 303,4,10
20,MATH 225,4,8
21,STAT 400,5,17
22,STAT 403,5,19
23,MATH 303,5,10;11;4
24,MATH 307,5,11
25,PHIL 331,5,
26,MATH 409,6,11;29;19
27,DATA 407,6,12
28,DATA 315,6,12
29,MATH 319,6,10;20
