id,label,term,requisites
1,DATA 101,1,
2,STAT 230,1,11;1
3,DATA 301,1,
4,DATA 311,1,2;5
5,COSC 111,1,
6,DATA 405,2,2
7,DATA 315,2,2
8,STAT 303,2,12
9,COSC 304,2,5
10,MATH 100,3,
11,MATH 101,3,10
12,MATH 200,3,11
