id,label,term,requisites
1,DATA 101,1,
2,PHYS 112,1,
3,MATH 100,1,
4,COSC 111,1,
5,ENGL 114,1,
6,ENGL 156,2,
7,CHEM 111,2,
8,PHYS 122,2,
9,MATH 101,2,3
10,COSC 121,2,4
11,MATH 200,3,9
12,MATH 221,3,3;9
13,STAT 230,3,9;1
14,COSC 221,3,10;9
15,COSC 222,3,10
16,MATH 220,4,9
17,MATH 225,4,9
18,DATA 311,4,13;4
19,COSC 304,4,4
20,STAT 303,4,11
21,PHIL 331,5,
22,DATA 310,5,13;12
23,DATA 301,5,4
24,MATH 307,5,12
25,MATH 319,5,11;17
26,DATA 410,6,12;20;18
27,STAT 401,6,13;20
28,DATA 315,6,13
29,MATH 409,6,12;25;20
30,MATH 303,6,11;12;4
